return_id,order_id,customer_id,return_date,return_reason,refund_amount,refund_status,inspection_status,return_mode,warehouse,product_condition,resolution,exchange_requested,processing_days,refund_method,customer_feedback,region,case_status,pickup_completed,ticket_status
480,39836,5573,2026-02-03,Not as Described,47541.78,Completed,Failed,Drop,Warehouse A,Sealed,Refund,No,7,Bank Transfer,Excellent,North,Resolved,Yes,Closed
481,25684,1917,2025-06-09,Wrong Item Delivered,17737.93,Completed,Failed,Drop,Warehouse C,Opened,Refund,No,3,UPI,Excellent,East,Pending,Yes,Closed
482,30774,349,2026-01-17,Duplicate Order,29157.41,Pending,Failed,Pickup,Warehouse A,Opened,Refund,Yes,8,Wallet,Poor,North,Pending,Yes,Closed
483,43159,8793,2025-01-26,Wrong Item Delivered,24752.09,Pending,Passed,Drop,Warehouse C,Opened,Refund,No,9,Wallet,Excellent,South,Resolved,No,Closed
484,39007,2486,2024-12-13,Late Delivery,70010.29,Completed,Failed,Pickup,Warehouse A,Sealed,Replacement,Yes,1,Bank Transfer,Average,South,Resolved,Yes,Closed
485,46719,5210,2025-10-05,Missing Parts,40105.2,Pending,Pending,Pickup,Warehouse C,Sealed,Refund,Yes,12,Wallet,Excellent,East,Resolved,No,Active
486,5447,5802,2026-01-26,Changed Mind,72556.63,Pending,Passed,Drop,Warehouse C,Sealed,Replacement,No,5,UPI,Average,East,Resolved,No,Closed
487,29237,2948,2025-04-05,Quality Issue,27600.9,Rejected,Passed,Drop,Warehouse A,Opened,Refund,No,9,Wallet,Poor,West,Resolved,Yes,Active
488,34072,1450,2024-09-21,Not as Described,91033,Rejected,Passed,Drop,Warehouse B,Sealed,Replacement,Yes,14,Wallet,Excellent,North,Pending,No,Active
489,42403,7939,2026-03-18,Damaged Product,39373.44,Pending,Pending,Drop,Warehouse A,Opened,Replacement,Yes,4,Bank Transfer,Average,North,Pending,No,Active
490,26671,4861,2025-06-06,Missing Parts,13467.55,Completed,Failed,Drop,Warehouse A,Opened,Refund,Yes,10,UPI,Excellent,South,Pending,Yes,Closed
491,19847,3897,2026-07-14,Damaged Product,120834.54,Rejected,Pending,Drop,Warehouse C,Sealed,Refund,No,11,Wallet,Excellent,East,Pending,No,Closed
492,23462,3144,2026-03-09,Not as Described,106410.59,Pending,Failed,Pickup,Warehouse C,Opened,Refund,No,15,Bank Transfer,Poor,East,Resolved,No,Active
493,24676,290,2026-01-21,Damaged Product,73450.3,Rejected,Passed,Drop,Warehouse A,Opened,Refund,Yes,6,Bank Transfer,Excellent,North,Resolved,No,Closed
494,31533,1537,2026-02-06,Duplicate Order,66956.59,Pending,Passed,Pickup,Warehouse B,Opened,Replacement,Yes,14,Bank Transfer,Good,North,Pending,Yes,Closed
495,44220,6060,2024-11-26,Damaged Product,17732.27,Completed,Failed,Drop,Warehouse C,Opened,Refund,Yes,15,Bank Transfer,Excellent,East,Pending,Yes,Active
496,27140,9271,2026-06-30,Damaged Product,70683.84,Pending,Failed,Drop,Warehouse A,Sealed,Refund,Yes,8,Bank Transfer,,West,Resolved,No,Active
497,26534,8414,2024-09-12,Late Delivery,61767.7,Completed,Passed,Pickup,Warehouse C,Opened,Refund,Yes,11,Wallet,Average,East,Pending,No,Closed
498,20876,7058,2026-04-09,Damaged Product,87094.82,Completed,Passed,Drop,Warehouse C,Sealed,Replacement,No,10,Wallet,Good,South,Pending,No,Closed
499,32736,8880,2025-06-18,Damaged Product,41669.04,Rejected,Pending,Pickup,Warehouse A,Opened,Refund,No,6,UPI,Good,South,Resolved,No,Active
500,7704,7606,2025-04-25,Not as Described,36155.35,Rejected,Pending,Drop,Warehouse C,Sealed,Replacement,No,6,UPI,Excellent,West,Resolved,No,Active
501,40112,2866,2026-03-30,Late Delivery,70947.1,Rejected,Passed,Drop,Warehouse C,Opened,Refund,No,12,Bank Transfer,Poor,South,Pending,Yes,Active
502,26846,4970,2025-03-01,Duplicate Order,7531.61,Completed,Pending,Pickup,Warehouse A,Sealed,Replacement,Yes,11,Wallet,Average,North,Resolved,Yes,Active
503,46065,9710,2025-08-10,Changed Mind,5391.33,Rejected,Passed,Drop,Warehouse C,Opened,Refund,Yes,1,UPI,Average,North,Resolved,Yes,Closed
504,36362,4098,2025-04-15,Wrong Item Delivered,106152.57,Pending,Passed,Drop,Warehouse B,Opened,Replacement,No,11,UPI,Poor,North,Resolved,Yes,Active
505,39379,4955,2025-05-22,Missing Parts,75013.41,Rejected,Failed,Drop,Warehouse C,Sealed,Refund,Yes,13,Wallet,Good,East,Resolved,No,Active
506,16690,1389,2026-01-22,Changed Mind,28551.37,Completed,Pending,Drop,Warehouse A,Opened,Replacement,Yes,3,Wallet,Poor,East,Pending,No,Active
507,35856,9889,2025-03-04,Not as Described,103336.66,Rejected,Failed,Drop,Warehouse B,Sealed,Refund,Yes,4,UPI,Poor,South,Pending,Yes,Closed
508,28020,6632,2024-10-22,Quality Issue,58166.3,Pending,Failed,Pickup,Warehouse A,Opened,Replacement,No,9,Bank Transfer,Good,North,Pending,No,Closed
509,41919,9297,2025-08-20,Missing Parts,25870.38,Pending,Failed,Drop,Warehouse B,Sealed,Refund,Yes,8,UPI,Average,North,Pending,Yes,Closed
510,13001,3055,2026-05-09,Wrong Item Delivered,110813.03,Pending,Passed,Pickup,Warehouse A,Opened,Replacement,Yes,9,UPI,Average,South,Pending,No,Closed
511,2157,175,2026-06-30,Changed Mind,38968.21,Completed,Pending,Pickup,Warehouse C,Sealed,Refund,No,5,Bank Transfer,Poor,West,Resolved,No,Active
512,14981,4126,2025-01-21,Late Delivery,98888.76,Rejected,Pending,Pickup,Warehouse B,Opened,Replacement,No,6,UPI,Average,South,Pending,No,Active
513,14470,9615,2025-08-07,Damaged Product,42659.23,Pending,Passed,Pickup,Warehouse B,Opened,Replacement,No,6,UPI,Poor,West,Pending,No,Closed
514,17548,3903,2026-07-02,Damaged Product,8705.89,Completed,Passed,Drop,Warehouse C,Sealed,Replacement,Yes,7,UPI,Poor,South,Pending,Yes,Closed
515,32198,2800,2025-12-14,Changed Mind,25803.89,Completed,Passed,Pickup,Warehouse C,Opened,Refund,No,1,UPI,Good,North,Pending,No,Active
516,16344,1489,2025-05-16,Wrong Item Delivered,44436.75,Pending,Passed,Drop,Warehouse C,Opened,Refund,No,14,Bank Transfer,Poor,South,Resolved,Yes,Closed
517,31148,9640,2025-01-24,Missing Parts,18928.04,Completed,Passed,Pickup,Warehouse B,Sealed,Replacement,Yes,10,Wallet,Average,South,Pending,No,Active
518,27116,3871,2025-03-20,Not as Described,109382.99,Completed,Failed,Pickup,Warehouse C,Sealed,Replacement,No,8,Wallet,Excellent,North,Pending,No,Closed
519,10974,8669,2026-05-30,Changed Mind,136822.53,Pending,Pending,Pickup,Warehouse B,Opened,Refund,No,8,Bank Transfer,Good,North,Pending,Yes,Active
520,12370,9950,2025-07-24,Changed Mind,34235.03,Rejected,Pending,Drop,Warehouse C,Opened,Refund,No,7,Wallet,,East,Resolved,Yes,Closed
521,32462,3235,2026-01-27,Changed Mind,6215.48,Completed,Pending,Pickup,Warehouse B,Opened,Refund,No,7,Bank Transfer,Poor,South,Pending,Yes,Active
522,37988,7837,2024-08-18,Quality Issue,37388.71,Pending,Pending,Drop,Warehouse B,Sealed,Refund,Yes,9,Wallet,Good,West,Resolved,No,Closed
523,18852,679,2025-02-01,Damaged Product,25584.56,Rejected,Passed,Pickup,Warehouse B,Opened,Replacement,Yes,2,Wallet,Excellent,East,Resolved,No,Closed
524,7471,1680,2026-04-22,Damaged Product,78646.9,Rejected,Pending,Pickup,Warehouse B,Opened,Refund,No,12,Bank Transfer,Poor,North,Resolved,Yes,Closed
525,9214,2163,2024-08-30,Late Delivery,14693.46,Pending,Passed,Pickup,Warehouse A,Opened,Replacement,Yes,1,Bank Transfer,Good,North,Resolved,Yes,Active
526,38508,9253,2025-12-28,Missing Parts,80538.99,Rejected,Passed,Drop,Warehouse B,Opened,Refund,No,7,UPI,Good,South,Resolved,No,Closed
527,22340,2600,2026-04-29,Duplicate Order,17479.92,Completed,Failed,Pickup,Warehouse B,Opened,Refund,No,11,Wallet,,North,Resolved,Yes,Closed
528,1610,9281,2024-10-22,Not as Described,2219.57,Completed,Pending,Pickup,Warehouse B,Opened,Replacement,No,11,Wallet,Good,East,Resolved,No,Closed
529,39838,4825,2025-04-12,Not as Described,99786.39,Pending,Pending,Pickup,Warehouse C,Opened,Refund,Yes,10,UPI,Average,South,Pending,Yes,Active
530,5880,5148,2025-11-02,Not as Described,31343.29,Pending,Passed,Pickup,Warehouse B,Opened,Refund,Yes,15,Wallet,Poor,East,Resolved,No,Closed
531,46387,9798,2024-11-04,Damaged Product,41544.79,Rejected,Failed,Drop,Warehouse A,Opened,Replacement,No,4,UPI,,South,Resolved,No,Closed
532,1295,4053,2025-08-21,Damaged Product,99348.14,Completed,Failed,Pickup,Warehouse A,Opened,Refund,Yes,3,UPI,Good,South,Resolved,Yes,Closed
533,3419,8996,2025-07-23,Quality Issue,95639.16,Rejected,Passed,Pickup,Warehouse B,Opened,Refund,No,5,Wallet,Poor,South,Pending,No,Active
534,46444,4918,2025-11-17,Quality Issue,87964.83,Pending,Failed,Drop,Warehouse C,Sealed,Refund,No,1,Bank Transfer,Poor,North,Pending,Yes,Active
535,11199,7063,2026-02-19,Changed Mind,77011.38,Pending,Failed,Drop,Warehouse C,Sealed,Refund,No,3,Wallet,Poor,South,Resolved,Yes,Active
536,43716,2129,2025-02-05,Duplicate Order,47770.75,Pending,Failed,Drop,Warehouse B,Sealed,Replacement,No,5,Wallet,,West,Resolved,Yes,Closed
537,5133,9742,2025-02-09,Late Delivery,26279.83,Pending,Failed,Drop,Warehouse C,Sealed,Replacement,Yes,11,Bank Transfer,Poor,South,Resolved,No,Active
538,14837,6419,2026-02-15,Damaged Product,126822.83,Rejected,Pending,Pickup,Warehouse B,Sealed,Refund,No,4,Wallet,Good,North,Resolved,Yes,Closed
539,16172,8407,2026-04-04,Wrong Item Delivered,123036.43,Rejected,Passed,Drop,Warehouse A,Sealed,Replacement,No,9,Wallet,Poor,East,Pending,Yes,Active
540,18690,3128,2026-04-02,Duplicate Order,19445.76,Completed,Failed,Pickup,Warehouse C,Sealed,Replacement,Yes,3,Bank Transfer,Excellent,North,Resolved,No,Closed
541,15987,8698,2025-04-16,Missing Parts,78302.85,Completed,Passed,Drop,Warehouse A,Opened,Refund,No,3,Wallet,Excellent,West,Resolved,Yes,Active
542,25930,8600,2024-12-01,Late Delivery,55738.3,Pending,Failed,Drop,Warehouse C,Opened,Refund,Yes,5,UPI,Poor,North,Pending,Yes,Closed
543,1783,4923,2025-06-25,Not as Described,30760.91,Pending,Pending,Pickup,Warehouse A,Opened,Replacement,Yes,11,Wallet,Excellent,North,Resolved,Yes,Closed
544,38461,4464,2024-09-30,Changed Mind,96066.34,Pending,Failed,Drop,Warehouse C,Sealed,Replacement,No,11,Bank Transfer,,South,Pending,No,Closed
545,43728,4971,2025-02-04,Duplicate Order,60210.1,Pending,Passed,Pickup,Warehouse B,Sealed,Refund,Yes,10,UPI,,South,Pending,No,Closed
546,31490,8226,2025-07-06,Late Delivery,74412.72,Completed,Pending,Drop,Warehouse A,Sealed,Refund,No,11,Bank Transfer,Good,West,Pending,Yes,Closed
547,34606,2638,2026-03-24,Not as Described,21722.02,Rejected,Pending,Pickup,Warehouse C,Sealed,Replacement,Yes,12,UPI,Excellent,South,Pending,Yes,Closed
548,34206,6133,2025-09-04,Not as Described,1160.59,Completed,Failed,Pickup,Warehouse B,Opened,Refund,Yes,3,Wallet,Excellent,North,Pending,Yes,Active
549,26158,4867,2026-08-18,Missing Parts,42485.6,Pending,Passed,Drop,Warehouse C,Sealed,Refund,Yes,15,Wallet,Poor,North,Pending,Yes,Active
550,36019,4251,2024-11-10,Missing Parts,95098.5,Rejected,Pending,Drop,Warehouse A,Opened,Replacement,Yes,5,UPI,Excellent,North,Pending,Yes,Active
551,24602,404,2026-01-05,Duplicate Order,71113.52,Pending,Pending,Pickup,Warehouse B,Opened,Refund,No,7,Bank Transfer,Average,South,Resolved,Yes,Closed
552,36722,3112,2025-02-20,Not as Described,88219.4,Pending,Passed,Drop,Warehouse A,Sealed,Replacement,Yes,10,Bank Transfer,Good,North,Pending,No,Active
553,38415,2991,2025-04-05,Not as Described,68913.85,Rejected,Passed,Drop,Warehouse B,Sealed,Refund,No,3,Wallet,Good,South,Resolved,Yes,Closed
554,4983,6448,2025-10-21,Quality Issue,104383.36,Completed,Pending,Drop,Warehouse B,Sealed,Replacement,No,13,Bank Transfer,Poor,North,Pending,No,Active
555,31807,2336,2025-09-19,Missing Parts,100661.91,Completed,Passed,Drop,Warehouse C,Opened,Replacement,No,11,UPI,,West,Pending,No,Active
556,31457,3408,2024-11-28,Late Delivery,73353.16,Rejected,Pending,Pickup,Warehouse B,Opened,Refund,No,7,Wallet,Good,North,Resolved,No,Closed
557,441,3374,2024-11-01,Wrong Item Delivered,72641.95,Rejected,Pending,Drop,Warehouse C,Sealed,Refund,No,4,UPI,Excellent,South,Pending,No,Closed
558,34856,6319,2025-05-18,Quality Issue,118709.91,Rejected,Pending,Drop,Warehouse C,Opened,Replacement,No,5,Wallet,Poor,East,Resolved,Yes,Active
559,23478,1745,2025-03-17,Late Delivery,31041.55,Completed,Pending,Drop,Warehouse B,Opened,Refund,No,8,Wallet,Poor,East,Resolved,Yes,Closed
560,43432,9086,2025-08-03,Quality Issue,8746.98,Pending,Pending,Pickup,Warehouse B,Sealed,Refund,Yes,13,UPI,Excellent,South,Resolved,Yes,Closed
561,7281,3133,2025-11-22,Damaged Product,7443.92,Completed,Pending,Pickup,Warehouse C,Opened,Refund,No,14,UPI,Excellent,North,Pending,No,Active
562,27393,9130,2025-07-17,Damaged Product,128192.79,Completed,Failed,Pickup,Warehouse C,Sealed,Replacement,Yes,10,Bank Transfer,Average,East,Resolved,Yes,Active
563,30637,7652,2025-10-06,Quality Issue,63954.58,Pending,Passed,Pickup,Warehouse C,Opened,Replacement,No,3,Wallet,Poor,North,Pending,No,Closed
564,15101,2167,2025-02-10, Missing Parts ,80840.93,Pending,Passed,Drop,Warehouse C,Sealed,Refund,Yes,2,Wallet,Average,South,Pending,Yes,Closed
565,21515,8080,2024-09-17,Missing Parts,79597.44,Pending,Passed,Pickup,Warehouse A,Sealed,Refund,Yes,11,Wallet,Poor,North,Pending,Yes,Closed
566,28825,645,2025-06-04,Changed Mind,84973.12,Completed,Passed,Drop,Warehouse A,Opened,Replacement,Yes,7,UPI,Excellent,South,Pending,No,Active
567,33066,110,2024-08-18,Changed Mind,88917.9,Rejected,Failed,Pickup,Warehouse A,Opened,Replacement,No,3,Bank Transfer,Poor,West,Resolved,No,Active
568,34219,3208,2026-03-13,Quality Issue,27610.94,Rejected,Passed,Pickup,Warehouse B,Sealed,Refund,No,12,UPI,,West,Resolved,No,Closed
569,38,7759,2025-07-22,Changed Mind,66974.8,Pending,Failed,Pickup,Warehouse B,Opened,Replacement,No,13,Bank Transfer,Excellent,North,Resolved,Yes,Active
570,44265,7744,2025-01-26,Wrong Item Delivered,6211.14,Rejected,Failed,Drop,Warehouse A,Sealed,Refund,No,8,Wallet,Excellent,West,Resolved,Yes,Active
571,37645,1586,2024-09-09,Duplicate Order,103651.17,Completed,Pending,Pickup,Warehouse C,Sealed,Refund,Yes,3,UPI,Average,South,Pending,Yes,Closed
572,1438,3222,2026-05-25,Duplicate Order,92520.74,Completed,Failed,Pickup,Warehouse C,Opened,Replacement,No,8,Bank Transfer,Average,South,Resolved,No,Active
573,17921,9633,2026-02-27,Damaged Product,56468.86,Pending,Pending,Drop,Warehouse A,Sealed,Refund,No,6,Bank Transfer,Average,North,Resolved,No,Active
574,14691,1053,2024-09-27,Wrong Item Delivered,22048,Pending,Failed,Pickup,Warehouse A,Opened,Replacement,Yes,15,Bank Transfer,Excellent,South,Pending,Yes,Closed
575,32241,2380,2026-01-26,Duplicate Order,9269.02,Pending,Passed,Drop,Warehouse A,Sealed,Replacement,Yes,3,Bank Transfer,Poor,North,Pending,Yes,Active
576,21001,1736,2025-05-13,Quality Issue,74466.62,Pending,Failed,Drop,Warehouse A,Opened,Refund,No,11,Bank Transfer,Excellent,West,Pending,No,Active
577,31790,7286,2024-12-15,Missing Parts,84652.12,Rejected,Pending,Drop,Warehouse A,Opened,Refund,Yes,3,UPI,Average,North,Resolved,Yes,Closed
578,36910,2491,2025-03-28,Damaged Product,1362.91,Pending,Failed,Drop,Warehouse B,Sealed,Refund,No,4,Wallet,Good,South,Resolved,No,Active
579,47485,3840,2026-02-09,Late Delivery,89206.77,Rejected,Failed,Pickup,Warehouse B,Opened,Refund,Yes,14,Wallet,Good,South,Resolved,Yes,Closed
580,41428,6956,2025-05-17,Late Delivery,49483.44,Completed,Failed,Pickup,Warehouse C,Opened,Refund,Yes,7,Bank Transfer,Average,South,Resolved,No,Closed
581,37413,8454,2026-07-31,Missing Parts,47419.97,Rejected,Passed,Drop,Warehouse A,Sealed,Replacement,No,6,Wallet,Poor,South,Pending,Yes,Active
582,753,44,2025-03-16,Duplicate Order,168.57,Completed,Failed,Drop,Warehouse B,Opened,Replacement,Yes,5,Bank Transfer,,East,Pending,Yes,Active
583,13535,6271,2025-01-20,Quality Issue,17342.11,Pending,Failed,Drop,Warehouse C,Sealed,Refund,No,4,Wallet,Poor,North,Resolved,Yes,Active
584,8124,5980,2025-10-09,Late Delivery,21879.17,Completed,Pending,Drop,Warehouse A,Opened,Replacement,No,12,Bank Transfer,Good,South,Resolved,Yes,Active
585,9143,998,2026-04-28,Changed Mind,72186.62,Rejected,Failed,Drop,Warehouse B,Opened,Replacement,Yes,8,Bank Transfer,,South,Pending,Yes,Closed
586,5946,8402,2025-03-16,Damaged Product,43139.39,Rejected,Passed,Drop,Warehouse B,Opened,Refund,No,13,Wallet,Poor,West,Pending,No,Active
587,46538,9860,2024-10-21,Late Delivery,27753.18,Rejected,Pending,Pickup,Warehouse C,Sealed,Replacement,No,14,UPI,Average,East,Resolved,Yes,Active
588,28419,3340,2024-12-24,Changed Mind,36596.76,Completed,Pending,Pickup,Warehouse B,Opened,Replacement,Yes,11,UPI,Good,North,Resolved,No,Closed
589,10781,9666,2025-07-20,Changed Mind,68225.7,Rejected,Passed,Drop,Warehouse C,Sealed,Replacement,Yes,11,UPI,,South,Pending,Yes,Closed
590,15632,1060,2025-09-05,Wrong Item Delivered,26602.54,Rejected,Pending,Drop,Warehouse C,Sealed,Refund,No,4,Bank Transfer,Average,South,Pending,Yes,Closed
591,16510,6804,2025-06-14,Missing Parts,55973.4,Pending,Passed,Drop,Warehouse A,Sealed,Refund,No,3,UPI,Good,West,Resolved,No,Active
592,12577,3743,2025-12-10,Quality Issue,71093.13,Pending,Pending,Pickup,Warehouse A,Opened,Refund,No,4,Bank Transfer,Poor,North,Resolved,Yes,Active
593,19241,1294,2025-06-16,Wrong Item Delivered,95625.61,Completed,Pending,Pickup,Warehouse A,Opened,Refund,No,3,Wallet,Excellent,North,Resolved,No,Active
594,46748,8306,2025-01-22,Not as Described,41006.99,Completed,Failed,Drop,Warehouse B,Opened,Refund,Yes,9,Wallet,Average,North,Resolved,Yes,Active
595,25711,6582,2025-02-21,Missing Parts,61092.86,Completed,Passed,Pickup,Warehouse A,Opened,Replacement,No,3,Bank Transfer,Average,South,Pending,Yes,Closed
596,33351,7473,2025-03-29,Late Delivery,147468.94,Completed,Failed,Drop,Warehouse A,Sealed,Refund,No,15,UPI,Excellent,South,Resolved,No,Closed
597,10691,9810,2025-02-21,Missing Parts,32787.22,Completed,Pending,Drop,Warehouse C,Sealed,Replacement,Yes,5,Bank Transfer,Average,East,Resolved,Yes,Active
598,21749,9567,2025-05-13,Duplicate Order,108179.14,Completed,Failed,Drop,Warehouse C,Sealed,Refund,Yes,10,Bank Transfer,Average,South,Resolved,No,Active
599,10516,1437,2025-07-27,Duplicate Order,965.3,Pending,Failed,Drop,Warehouse B,Sealed,Replacement,Yes,13,Wallet,Good,West,Pending,No,Closed
600,1601,6195,2025-10-17,Late Delivery,51408.15,Pending,Passed,Drop,Warehouse C,Opened,Refund,Yes,6,UPI,Good,North,Pending,No,Active
601,10402,1735,2025-02-24,Duplicate Order,63930.3,Pending,Passed,Drop,Warehouse B,Opened,Replacement,Yes,4,UPI,Excellent,South,Resolved,Yes,Closed
602,40101,2073,2025-01-12,Missing Parts,76554.39,Pending,Passed,Pickup,Warehouse C,Opened,Replacement,Yes,1,UPI,Average,South,Resolved,Yes,Active
603,31752,3857,2026-02-28,Missing Parts,5345.17,Completed,Passed,Drop,Warehouse C,Opened,Replacement,No,7,Wallet,Average,West,Resolved,No,Active
604,23863,5428,2025-11-22,Damaged Product,60150.77,Rejected,Passed,Pickup,Warehouse A,Sealed,Replacement,No,9,Wallet,Average,East,Resolved,No,Active
605,43335,4736,2025-12-21,Missing Parts,73261.14,Completed,Pending,Pickup,Warehouse B,Opened,Refund,No,3,Wallet,Excellent,West,Pending,No,Closed
606,24545,4362,2026-04-04,Damaged Product,41521.34,Pending,Pending,Drop,Warehouse A,Sealed,Refund,Yes,2,Bank Transfer,Average,North,Resolved,No,Active
607,26501,6048,2026-07-30,Late Delivery,8232.65,Rejected,Passed,Drop,Warehouse A,Opened,Refund,Yes,5,UPI,Excellent,West,Resolved,Yes,Closed
608,24003,2394,2026-03-04,Damaged Product,131353.49,Pending,Failed,Drop,Warehouse C,Opened,Replacement,No,12,Bank Transfer,Good,North,Pending,No,Active
609,22701,8170,2025-05-02,Quality Issue,96249.71,Completed,Pending,Drop,Warehouse B,Opened,Replacement,Yes,3,Wallet,Poor,North,Resolved,Yes,Active
610,22910,8550,2026-03-02,Quality Issue,101994.04,Rejected,Passed,Drop,Warehouse B,Opened,Replacement,No,6,Wallet,Poor,North,Pending,Yes,Active
611,44179,5513,2025-02-07,Quality Issue,89171.07,Rejected,Pending,Drop,Warehouse A,Opened,Refund,No,9,UPI,Poor,North,Pending,No,Active
612,41530,2119,2024-09-10,Wrong Item Delivered,53336.78,Pending,Pending,Drop,Warehouse B,Opened,Refund,Yes,12,Bank Transfer,Average,West,Pending,No,Active
613,13252,5846,2025-11-06,Not as Described,48716.74,Completed,Failed,Drop,Warehouse B,Sealed,Refund,No,6,Wallet,Average,East,Resolved,No,Closed
614,13566,4071,2025-12-06,Damaged Product,51348.03,Rejected,Pending,Pickup,Warehouse C,Opened,Refund,Yes,14,UPI,Average,West,Resolved,No,Active
615,15448,6527,2026-05-25,Not as Described,68093.55,Rejected,Passed,Drop,Warehouse B,Sealed,Replacement,Yes,2,UPI,Excellent,West,Pending,Yes,Closed
616,9918,6704,2025-04-06,Duplicate Order,14186.08,Rejected,Failed,Pickup,Warehouse C,Sealed,Refund,No,8,UPI,Good,West,Resolved,Yes,Closed
617,49636,1054,2024-12-14,Missing Parts,63723.7,Completed,Failed,Drop,Warehouse B,Opened,Refund,Yes,14,UPI,Poor,East,Pending,Yes,Active
618,29019,1986,2026-03-17,Missing Parts,23577.99,Completed,Failed,Drop,Warehouse B,Opened,Replacement,Yes,14,UPI,Excellent,West,Pending,No,Active
619,36932,3137,2025-02-21,Missing Parts,29478.34,Pending,Failed,Pickup,Warehouse C,Sealed,Replacement,No,14,UPI,Good,North,Resolved,No,Closed
620,14660,2233,2026-04-01,Not as Described,81817.82,Completed,Failed,Drop,Warehouse A,Sealed,Replacement,Yes,8,UPI,Poor,North,Resolved,Yes,Active
621,44280,5404,2025-06-17,Quality Issue,53540.11,Rejected,Failed,Pickup,Warehouse B,Opened,Refund,Yes,6,Bank Transfer,Excellent,East,Pending,Yes,Closed
622,16508,9533,2025-08-25,Missing Parts,35110.55,Pending,Failed,Drop,Warehouse C,Sealed,Replacement,Yes,15,UPI,Poor,West,Pending,Yes,Active
623,22867,8144,2025-11-16,Changed Mind,3677.19,Rejected,Pending,Drop,Warehouse C,Sealed,Refund,Yes,13,UPI,Excellent,North,Pending,Yes,Closed
624,30450,4822,2025-12-19,Wrong Item Delivered,66007.1,Rejected,Failed,Pickup,Warehouse C,Sealed,Replacement,Yes,4,Bank Transfer,Poor,North,Resolved,No,Active
625,10116,2625,2025-04-18,Not as Described,111679.73,Pending,Pending,Drop,Warehouse A,Sealed,Refund,No,5,Wallet,Average,East,Pending,Yes,Active
626,4292,7558,2026-04-25,Damaged Product,69655.04,Completed,Passed,Pickup,Warehouse B,Sealed,Replacement,Yes,10,Bank Transfer,Good,West,Resolved,No,Active
627,16408,7226,2025-07-20,Missing Parts,8711.14,Completed,Pending,Drop,Warehouse C,Opened,Replacement,No,9,UPI,Poor,South,Resolved,Yes,Active
628,46418,4956,2025-03-17,Missing Parts,33906.04,Rejected,Failed,Pickup,Warehouse B,Opened,Refund,Yes,1,Bank Transfer,Excellent,South,Resolved,Yes,Closed
629,39113,4005,2026-07-25,Quality Issue,55216.02,Pending,Pending,Drop,Warehouse A,Opened,Refund,No,4,Wallet,,West,Pending,Yes,Closed
630,5389,3520,2024-10-24,Damaged Product,86132.33,Rejected,Pending,Pickup,Warehouse A,Sealed,Refund,Yes,3,Bank Transfer,Average,South,Resolved,Yes,Closed
631,33371,8123,2025-02-06,Late Delivery,41834.13,Pending,Passed,Drop,Warehouse A,Sealed,Refund,No,11,UPI,Good,West,Pending,No,Closed
632,48615,412,2026-06-10,Changed Mind,64473.53,Completed,Passed,Pickup,Warehouse A,Sealed,Replacement,No,10,Wallet,Excellent,South,Pending,Yes,Active
633,16480,9243,2025-12-15,Damaged Product,70168.14,Rejected,Pending,Pickup,Warehouse A,Sealed,Refund,Yes,1,Bank Transfer,Good,South,Resolved,Yes,Closed
634,16613,4712,2025-06-23,Wrong Item Delivered,2066.47,Pending,Pending,Drop,Warehouse B,Sealed,Replacement,No,15,UPI,Average,South,Resolved,No,Closed
635,16396,875,2025-10-10,Changed Mind,41261.02,Completed,Passed,Drop,Warehouse B,Sealed,Replacement,No,14,Bank Transfer,Excellent,West,Pending,Yes,Closed
636,7345,3682,2026-02-22,Wrong Item Delivered,22759.3,Pending,Passed,Pickup,Warehouse C,Sealed,Replacement,No,10,Wallet,Average,West,Resolved,Yes,Active
637,30489,8874,2025-06-13,Quality Issue,35250.59,Pending,Passed,Pickup,Warehouse A,Sealed,Replacement,Yes,13,Bank Transfer,Excellent,North,Pending,Yes,Closed
638,31248,8078,2025-01-27,Duplicate Order,53137.1,Completed,Pending,Pickup,Warehouse B,Sealed,Refund,Yes,2,Wallet,Average,North,Pending,No,Closed
639,43145,6189,2026-08-25,Late Delivery,52502.4,Completed,Failed,Drop,Warehouse A,Sealed,Replacement,Yes,2,Bank Transfer,Good,East,Pending,Yes,Active
640,20239,1985,2024-08-28,Damaged Product,48387.32,Pending,Failed,Pickup,Warehouse B,Opened,Refund,No,11,UPI,Excellent,West,Resolved,No,Closed
641,28227,7577,2026-01-31,Duplicate Order,88413.79,Pending,Passed,Drop,Warehouse B,Opened,Replacement,No,12,Bank Transfer,Poor,North,Pending,Yes,Active
642,20822,7083,2025-05-16,Damaged Product,78460.08,Completed,Passed,Drop,Warehouse C,Sealed,Refund,Yes,2,UPI,Average,North,Resolved,No,Active
643,17563,2124,2025-11-06,Changed Mind,19983.75,Completed,Failed,Drop,Warehouse C,Sealed,Replacement,Yes,15,UPI,Poor,North,Resolved,No,Active
644,12684,1823,2025-01-12,Missing Parts,82112.46,Rejected,Failed,Pickup,Warehouse C,Opened,Replacement,No,5,Bank Transfer,Poor,South,Resolved,No,Closed
645,20175,4802,2025-09-08,Late Delivery,48641.69,Rejected,Pending,Pickup,Warehouse C,Opened,Refund,No,1,UPI,Excellent,South,Pending,No,Active
646,800,6193,2025-04-12,Late Delivery,55453.77,Rejected,Pending,Drop,Warehouse B,Sealed,Refund,Yes,15,UPI,Good,East,Pending,No,Active
